100
4	10
26487
0
21160	22568	22669	25238	
21085	18884	25456	21037	
22940	19088	23586	19375	
14728	16898	17870	21204	
17224	21603	17182	21523	
22503	21812	18057	17709	
17408	21394	14823	17567	
17431	21233	14664	17246	
23091	24558	19809	20422	
25509	20882	21961	19350	
1
22687	21100	25293	22486	
19814	17843	24320	20580	
20210	20169	23919	23819	
25982	22342	21783	20238	
21982	18151	23262	18767	
18820	21986	19997	24590	
20297	22982	21229	25218	
20948	21871	23147	25152	
21587	24778	18645	20130	
15767	17791	18894	22204	
2
21090	17012	17419	14534	
15886	17832	19063	22287	
22550	22616	18347	18379	
16103	19450	17810	22367	
17435	22075	16147	19820	
16737	20779	17387	21976	
20923	25354	18784	21041	
25104	21801	20464	18982	
17068	14202	20765	16742	
22039	25769	19585	21161	
3
17665	14620	21136	16915	
17492	22134	16518	20369	
25259	21165	20719	18736	
23226	21043	25059	21900	
17475	22099	16056	19642	
21489	18229	17122	15045	
21484	17287	17917	14952	
19916	19779	23843	23519	
22863	19086	23718	19465	
21718	17498	22116	17703	
4
22773	18261	21674	17709	
18818	17205	23428	20430	
21251	17824	16992	14749	
24451	21676	19817	18519	
15268	18220	17569	21795	
20606	22253	22346	25791	
18868	18276	23342	22098	
17233	21867	16360	20301	
15675	18338	18212	22247	
18401	23020	17458	21181	
5
20111	19949	23978	23593	
19406	18622	23905	22200	
21058	21613	23545	24776	
17655	22078	17436	21656	
20120	18201	24667	20881	
21340	20630	24976	23310	
25493	21390	22745	20242	
18278	21465	15046	17067	
20310	20792	23444	24607	
17387	14784	21355	17516	
6
20258	18953	24870	21951	
17341	21972	16485	20422	
16733	20208	18158	22791	
22026	22553	23450	24296	
24256	20448	23596	20174	
20868	16857	22119	17529	
14308	16931	17082	20879	
17202	16817	21723	21011	
18545	19176	22270	23631	
20120	18392	24740	21191	
7
22884	20056	25151	20995	
21970	19229	25305	20684	
15935	19553	17336	21960	
16607	20559	13990	16807	
19779	23892	19475	23186	
24767	20774	20293	18239	
19100	22050	20394	24990	
21703	21569	24268	23992	
21916	17824	22592	18161	
24992	20373	21294	18606	
8
19269	22497	20194	24637	
23762	22082	19244	18460	
18508	22052	19370	23907	
17877	22105	15571	18472	
21938	24544	18758	19943	
22126	17518	20736	16766	
18694	15341	21666	17173	
17991	20938	19694	24306	
17525	19208	20614	23811	
23426	24875	21112	21783	
9
24214	22162	19683	18752	
22921	18836	18939	16349	
17088	20705	18254	22901	
19257	19384	23188	23477	
24898	21342	20265	18571	
22227	19295	17684	15948	
21077	23010	17382	18381	
19197	20802	21806	25447	
23049	18445	20147	16841	
19504	22659	20401	24772	
10
23749	19997	23797	20017	
22913	22599	18648	18500	
18957	19495	22642	23846	
16499	13853	20423	16657	
20897	21782	16753	17232	
22068	24955	19093	20364	
15830	17930	18880	22301	
22948	21331	25034	22466	
26066	21792	22258	20182	
20403	16926	22945	18305	
